Feature,Correlation
21,-8.588332269309376E-4
21st,-9.27648746263565E-4
22,0.003925262173246959
23,-9.27648746263565E-4
23rd,-0.001051861245719923
24,-0.0016815884785703846
25,-0.001606803594003305
250,-9.917012584517084E-4
26,-9.27648746263565E-4
28,-0.0011628834778207966
2nd,-7.84001486975171E-4
3,-3.752328619391934E-4
30,-1.5361439763232805E-4
300,-0.0013579719608438582
3000,-8.588332269309376E-4
30s,-0.0011087624989792283
31,-8.588332269309376E-4
32,-8.588332269309376E-4
33,-7.84001486975171E-4
35,-0.0015283657247278082
36,-0.0011628834778207966
360,-9.917012584517084E-4
37,-8.588332269309376E-4
38,-7.84001486975171E-4
3rd,-7.84001486975171E-4
4,6.614910420115952E-4
40,-0.0016815884785703846
400,-9.917012584517084E-4
40000,-7.84001486975171E-4
40s,-0.0011628834778207966
412\/l,-7.84001486975171E-4
42,-9.27648746263565E-4
43,-0.0011087624989792283
45,-0.0015283657247278082
47,-8.588332269309376E-4
48,-0.0011628834778207966
4th,-0.001051861245719923
5,0.0030429305700547986
50,0.0010091290969515428
500,-0.0015283657247278082
5000,-9.27648746263565E-4
50000,-9.917012584517084E-4
51,-7.84001486975171E-4
53,-7.84001486975171E-4
55,-7.84001486975171E-4
57,-8.588332269309376E-4
58,-7.84001486975171E-4
59,-8.588332269309376E-4
6,-0.0018554167201464764
60,-0.0017531879115482531
600,-7.84001486975171E-4
60s,-7.84001486975171E-4
64,-9.27648746263565E-4
65,-7.84001486975171E-4
66,-8.588332269309376E-4
68,-8.588332269309376E-4
69,-7.84001486975171E-4
7,0.0044292993245044765
7-11,-9.27648746263565E-4
70,-0.0011628834778207966
72,0.005303236503572925
75,-0.001051861245719923
7th,-7.84001486975171E-4
8,-0.0018554167201464764
80,0.001123610883455732
800,-7.84001486975171E-4
806,-7.84001486975171E-4
82,-9.27648746263565E-4
85,-0.0017531879115482531
86,-9.27648746263565E-4
88,-9.27648746263565E-4
9,-0.003233312508083465
90,-0.001606803594003305
91,-0.001051861245719923
911,-0.0013119215385158172
92,-0.004587231344998701
94,-8.588332269309376E-4
96,-0.002696600678618695
97,8.63820077299694E-4
98,-0.0011628834778207966
99,-0.0012641953586989781
9e,-0.0013119215385158172
9mm,-7.84001486975171E-4
:-rrb-,-8.41495556553939E-4
;d,-8.588332269309376E-4
</h1>,-9.917012584517084E-4
</i>,-0.003874068829946241
</p>,-0.001606803594003305
</pre>,-0.001051861245719923
</td>,-9.917012584517084E-4
</u>,-0.006509716252224275
<br>,-0.012455215841344638
<h1>,-9.917012584517084E-4
<i>,-0.0038581470154329133
<p>,-0.0015680749461160909
"<p id=""act"">",-0.0014875974070639613
"<p id=""dia"">",-0.0014875974070639613
"<p id=""right"">",-9.27648746263565E-4
"<p id=""slug"">",-0.0011628834778207966
